line,title,author,cited_num,relate,reverse_relate
A numerical method for simulating transverse vibrations of axially moving strings.,A numerical method for simulating transverse vibrations of an axially moving string,LQ Chen,32,90.91%,83.33%
Nonlinear dynamical analysis of axially moving viscoelastic strings.,Nonlinear dynamical analysis of axially moving viscoelastic strings,LQ Chen,39,87.50%,87.50%
Bifurcation and chaos of an axially accelerating viscoelastic beam.,Bifurcation and chaos of an axially accelerating viscoelastic beam,LQ Chen,105,88.89%,88.89%
Transient responses of an axially accelerating viscoelastic string constituted by a fractional differentiation law.,Transient responses of an axially accelerating viscoelastic string constituted by a fractional differentiation law,LQ Chen JW Zu,56,92.86%,92.86%
Energetics and conserved functional of moving materials undergoing transverse nonlinear vibration.,Energetics and conserved functional of axially moving materials undergoing transverse nonlinear vibration,LQ Chen JW Zu,21,90.91%,83.33%
Dynamic stability of an axially accelerating viscoelastic beam.,Dynamic stability of an axially accelerating viscoelastic beam,LQ Chen,80,87.50%,87.50%
Attitude control of a rigid spacecraft with two momentum wheel actuators using genetic algorithm.,Attitude control of a rigid spacecraft with two momentum wheel actuators using genetic algorithm,LQ Chen,50,92.86%,92.86%
Asymptotic nonlinear behaviors in transverse vibration of an axially accelerating viscoelastic string.,Asymptotic nonlinear behaviors in transverse vibration of an axially accelerating viscoelastic string,LQ Chen JW Zu,31,91.67%,91.67%
On Noether symmetries and form invariance of mechanico-electrical systems.,On Noether symmetries and form invariance of mechanico-electrical systems,LQ Chen,38,88.89%,88.89%
Chaotic attitude motion and its control of spacecraft in elliptic orbit and geomagnetic field.,Chaotic attitude motion and its control of spacecraft in elliptic orbit and geomagnetic field,LQ Chen,17,92.86%,92.86%
Transverse vibrations of an axially accelerating viscoelastic string with geometric nonlinearity.,Transverse vibrations of an axially accelerating viscoelastic string with geometric nonlinearity,LQ Chen JW Zu,28,90.91%,90.91%
Perturbation of symmetries of rotational relativistic Birkhoffian systems and its inverse problems.,Perturbation of symmetries of rotational relativistic Birkhoffian systems and its inverse problem,LQ Chen,48,91.67%,91.67%
A general formalism for synchronization in finite dimensional dynamical systems.,A general formalism for synchronization in finite dimensional dynamical systems,LQ Chen,27,90.00%,90.00%
The parametric open-plus-closed-loop control of chaotic maps and its robustness.,The parametric open-plus-closed-loop control of chaotic maps and its robustness,LQ Chen,10,90.00%,90.00%
The chaotic response of the viscoelastic traveling string: an integral constitutive law.,The chaotic response of the viscoelastic traveling string: an integral constitutive law,LQ Chen JW Zu,29,91.67%,91.67%
Steady-state response of the parametrically excited axially moving string constituted by the Boltzmann superposition principle.,Steady-state response of the parametrically excited axially moving string constituted by the Boltzmann superposition principle,LQ Chen JW Zu,39,93.33%,93.33%
The regular and chaotic vibrations of an axially moving viscoelastic string based on 4-order Galerkin truncation.,[CITATION][C] The regular and chaotic vibrations of an axially moving viscoelastic string based on fourth order Galerkin truncaton,LQ Chen JW Zu,61,87.50%,77.78%
Bifurcation and chaos of an axially moving viscoelastic string.,Bifurcation and chaos of an axially moving viscoelastic string,LQ Chen JW Zu,37,88.89%,88.89%
An open-plus-closed-loop approach to synchronization of chaotic and hyperchaotic maps.,An open-plus-closed-loop approach to synchronization of chaotic and hyperchaotic maps,LQ Chen,27,90.00%,90.00%
Chaotic attitude motion of a magnetic rigid spacecraft and its control.,Chaotic attitude motion of a magnetic rigid spacecraft and its control,LQ Chen,43,90.91%,90.91%
Chaotic attitude motion of a magnetic rigid spacecraft in a circular orbit near the equatorial plane.,Chaotic attitude motion of a magnetic rigid spacecraft in a circular orbit near the equatorial plane,LQ Chen,14,93.75%,93.75%
An open-plus-closed-loop control for discrete chaos and hyperchaos.,An open-plus-closed-loop control for discrete chaos and hyperchaos,LQ Chen,43,87.50%,87.50%
Dynamical behavior of nonlinear viscoelastic columns based on 2-order Galerkin truncation.,Dynamical behavior of nonlinear viscoelastic columns based on 2-order Galerkin truncation,LQ Chen,12,90.91%,90.91%
Controlling chaotic attitude motion of spacecraft by the input-output linearization.,Controlling Chaotic Attitude Motion of Spacecraft by the Input‐Output Linearization,LQ Chen,8,40.00%,40.00%
A parametric open-plus-closed-loop approach to control chaos in nonlinear oscillations.,A parametric open-plus-closed-loop approach to control chaos in nonlinear oscillations,LQ Chen,20,90.00%,90.00%
A modified exact linearization control for chaotic oscillators.,A modified exact linearization control for chaotic oscillators,LQ Chen,31,87.50%,87.50%
The modified open-plus-closed-loop control of chaos in nonlinear oscillations.,PARAMETRIC OPEN PLUS CLOSED LOOP CONTROL OF CHAOS IN CONTINUOUS DYNAMICAL SYSTEMS,,7,0.00%,0.00%
Peri-implantation lethality in mice lacking the PGC-1-related coactivator protein.,Peri‐implantation lethality in mice lacking the PGC‐1‐related coactivator protein,,18,66.67%,66.67%
