line,title,author,cited_num,relate,reverse_relate
A Novel Strategy Incorporated the Power of Mesenchymal Stem Cells to Allografts for Segmental Bone Tissue Engineering,A novel strategy incorporated the power of mesenchymal stem cells to allografts for segmental bone tissue engineering,XH Zou Z Yin X Chen YZ Jiang,37,29.41%,29.41%
The evaluation of a novel bone marrow stem cell based silk sling on rat model of stress urinary incontinence,The evaluation of a novel bone marrow stem cell based silk sling on rat model of stress urinary incontinence,XH Zou,0,100.00%,100.00%
A Comparison Between the Chondrogenic Potential of Human Bone Marrow Stem Cells (BMSCs) and Adipose-Derived Stem Cells (ADSCs) Taken from the Same Donors,A comparison between the chondrogenic potential of human bone marrow stem cells (BMSCs) and adipose-derived stem cells (ADSCs) taken from the same donors,JHP Hui,202,34.78%,34.78%
Engineering of human tracheal tissue with collagen-enforced poly-lactic-glycolic acid non-woven mesh: A preliminary study in nude mice,Engineering of human tracheal tissue with collagen-enforced poly-lactic-glycolic acid non-woven mesh: a preliminary study in nude mice,W Wu,42,94.12%,94.12%
Segmental bone tissue engineering by seeding osteoblast precursor cells into titanium mesh–coral composite scaffolds,Segmental bone tissue engineering by seeding osteoblast precursor cells into titanium mesh–coral composite scaffolds,W Wu,30,100.00%,100.00%
P169 In vitro study of effect of chondroitin sulfate on human chondroctyes,[CITATION][C] P169 In vitro study of effect of chondroitin sulfate on human chondroctyes,JH Hui,0,100.00%,92.31%
Characterization of a Novel Polymeric Scaffold for Potential Application in Tendon/Ligament Tissue Engineering,Characterization of a novel polymeric scaffold for potential application in tendon/ligament tissue engineering,S Sahoo JCH Goh TE Tay,316,38.46%,38.46%
Loss of viability during freeze–thaw of intact and adherent human embryonic stem cells with conventional slow-cooling protocols is predominantly due to␣apoptosis rather than cellular necrosis,Loss of viability during freeze–thaw of intact and adherent human embryonic stem cells with conventional slow-cooling protocols is predominantly due to␣ apoptosis …,BC Heng H Liu WS Toh AJ Rufaihah,97,80.00%,90.91%
Osteoarthritis and therapy,Osteoarthritis gene therapy,,156,66.67%,66.67%
Efficacy of Bone Marrow-Derived Stem Cells in Strengthening Osteoporotic Bone in a Rabbit Model,Efficacy of bone marrow–derived stem cells in strengthening osteoporotic bone in a rabbit model,J Goh,93,35.71%,35.71%
Mesenchymal Stem Cell Sheets Revitalize Nonviable Dense Grafts: Implications for Repair of Large-Bone and Tendon Defects,Mesenchymal stem cell sheets revitalize nonviable dense grafts: implications for repair of large-bone and tendon defects,T Cao XH Zou BC Heng,96,25.00%,25.00%
Characterization of a Novel Polymeric Scaffold for Potential Application in Tendon/Ligament Tissue Engineering,Characterization of a novel polymeric scaffold for potential application in tendon/ligament tissue engineering,S Sahoo JCH Goh TE Tay,316,38.46%,38.46%
